Cyrillic,IPA,English meaning,Note
бумага,/bʊˈmaɡə/,paper,Leanred Playing Codenames at Russina Clube 2/7/2026
насекомое,/nəsʲɪˈkoməjɪ/,insect,Leanred Playing Codenames at Russina Clube 2/7/2026
рыба,/ˈrɨbə/,fish,Leanred Playing Codenames at Russina Clube 2/7/2026
медведь,/mʲɪdˈvʲetʲ/,bear,Leanred Playing Codenames at Russina Clube 2/7/2026
автобус,/ɐfˈtobʊs/,bus,Leanred Playing Codenames at Russina Clube 2/7/2026
женщина,/ˈʐɛnʂːɨnə/,woman,Leanred Playing Codenames at Russina Clube 2/7/2026
круг,/kruk/,circle,Leanred Playing Codenames at Russina Clube 2/7/2026
фен,/fʲen/,fan (usually “hair dryer” in Russian),Leanred Playing Codenames at Russina Clube 2/7/2026
холодный,/xɐˈlodnɨj/,cold,Leanred Playing Codenames at Russina Clube 2/7/2026
логотип,logo,/ləɡɐˈtʲip/,Learned playing tummple RCC 2/14/2026
как хочешь,(literally) “as you want” / “however you like”,/kak ˈxot͡ɕɪʂ/,Learned playing tummple RCC 2/14/2026
красивая,attractive / beautiful (feminine form),/krɐˈsʲivəjə/,Learned playing tummple RCC 2/14/2026
хорошо,good / okay,/xɐrɐˈʂo/,Learned playing tummple RCC 2/14/2026
идеально,ideal(ly) / perfect(ly),/ɪdʲɪˈalʲnə/,Learned playing tummple RCC 2/14/2026
широкая,wide (feminine form),/ʂɨˈrokəjə/,Learned playing tummple RCC 2/14/2026
узкая,narrow / “skinny” (feminine form),/ˈuskəjə/,Learned playing tummple RCC 2/14/2026
